iter	Passed	Remaining
255	311	904
256	312	904
257	314	904
258	315	902
259	316	900
260	317	899
261	318	897
262	322	903
263	324	903
264	325	901
265	326	899
266	327	899
267	328	897
268	329	896
269	330	894
270	331	892
271	332	891
272	334	890
273	337	895
274	339	895
275	341	895
276	342	894
277	343	892
278	344	891
279	349	898
280	353	903
281	355	904
282	356	903
283	358	902
284	359	901
285	360	900
286	363	902
287	364	901
288	373	918
289	374	917
290	376	918
291	378	917
292	382	922
293	385	926
294	387	926
295	389	925
296	391	925
297	392	924
298	393	923
299	395	921
300	399	927
301	400	926
302	402	925
303	403	923
304	405	923
305	408	927
306	410	926
307	414	932
308	416	931
309	418	931
310	420	930
311	422	931
312	424	930
313	435	951
314	438	952
315	440	952
316	446	961
317	449	962
318	450	961
319	451	959
320	453	958
321	455	958
322	456	956
323	463	966
324	464	965
325	466	964
326	470	968
327	471	966
328	475	969
329	478	971
330	479	969
331	481	967
332	482	966
333	484	965
334	485	963
335	486	961
336	488	960
337	489	958
338	493	961
339	495	961
340	496	960
341	498	958
342	499	957
343	508	969
344	509	967
345	510	965
346	513	966
347	515	966
348	517	966
349	520	965
350	522	965
351	523	963
352	524	961
353	525	959
354	527	957
355	528	955
356	532	959
357	535	960
358	537	959
359	538	957
360	539	955
361	541	954
362	543	953
363	549	959
364	550	958
365	552	956
366	553	954
367	554	952
368	555	950
369	557	948
370	558	946
371	566	955
372	567	954
373	569	952
374	570	951
375	571	949
376	573	948
377	581	956
378	583	955
379	585	954
380	586	952
381	587	950
382	588	948
383	589	946
384	597	954
385	599	953
386	600	951
387	605	954
388	611	959
389	613	959
390	615	958
391	616	956
392	618	955
393	619	953
394	621	951
395	624	953
396	626	951
397	627	949
398	628	946
399	629	944
400	630	942
401	632	940
402	633	938
403	634	936
404	636	934
405	640	937
406	641	935
407	643	933
408	644	931
409	647	931
410	648	929
411	650	928
412	651	925
413	655	927
414	657	926
415	658	924
416	660	923
417	662	922
418	664	920
419	665	918
420	669	921
421	674	924
422	676	923
423	678	921
424	679	919
425	680	917
426	682	915
427	686	917
428	688	916
429	689	914
430	692	914
431	695	914
432	699	915
433	702	916
434	704	915
435	705	913
436	714	920
437	716	919
438	719	919
439	720	917
440	721	915
441	723	912
442	724	910
443	725	908
444	726	905
445	730	907
446	731	905
447	732	903
448	733	900
449	735	898
450	736	896
451	737	893
452	738	892
453	740	890
454	741	888
455	743	886
456	744	884
457	745	882
458	746	880
459	748	878
460	749	875
461	750	873
462	751	871
463	752	869
464	754	867
465	757	868
466	759	866
467	760	864
468	761	862
469	762	860
470	763	857
471	764	855
472	766	853
473	767	851
474	768	849
475	771	848
476	772	847
477	773	845
478	774	842
479	775	840
480	776	838
481	778	836
482	779	834
483	780	831
484	781	829
485	782	827
486	783	825
487	786	825
488	787	823
489	788	821
490	790	819
491	791	816
492	792	814
493	793	812
494	794	810
495	795	808
496	796	806
497	797	804
498	800	804
499	802	802
500	803	799
501	804	797
502	805	795
503	806	793
504	807	791
505	808	789
506	809	786
507	810	785
508	811	782
509	812	780
510	813	778
511	816	778
512	817	776
513	818	774
514	819	772
515	821	770
516	822	767
517	823	765
518	824	763
519	825	761
520	826	759
521	827	757
522	828	755
523	830	754
524	832	753
525	834	751
526	835	750
527	837	748
528	838	746
529	839	744
530	841	743
531	842	741
532	845	741
533	847	739
534	848	737
535	849	735
536	850	733
537	851	731
538	852	729
539	853	726
540	854	724
541	855	722
542	856	720
543	857	718
544	860	718
545	862	716
546	863	715
547	864	712
548	865	710
549	866	708
550	867	706
551	868	705
552	870	703
553	871	701
554	872	699
555	877	701
556	879	699
557	881	698
558	883	696
559	884	695
560	886	693
561	887	691
562	893	693
563	896	692
564	898	691
565	899	690
566	901	688
567	902	686
568	913	691
569	914	690
570	916	688
571	917	686
572	924	688
573	928	688
574	929	687
575	930	685
576	932	683
577	934	681
578	935	680
579	943	683
580	944	681
581	946	679
582	947	677
583	950	676
584	961	681
585	966	683
586	973	684
587	977	684
588	979	683
589	980	681
590	986	682
591	987	680
592	988	678
593	990	677
594	991	675
595	993	673
596	994	671
597	996	669
598	1000	669
599	1001	667
600	1002	665
601	1004	664
602	1005	662
603	1007	660
604	1008	658
605	1009	656
606	1020	660
607	1022	659
608	1024	657
609	1025	655
610	1028	654
611	1029	652
612	1030	650
613	1032	648
614	1033	646
615	1034	644
616	1036	643
617	1038	641
618	1039	640
619	1041	638
620	1043	636
621	1045	635
622	1047	633
623	1051	633
624	1053	631
625	1054	630
626	1056	628
627	1058	627
628	1060	625
629	1062	623
630	1063	621
631	1067	621
632	1068	619
633	1069	617
634	1071	615
635	1073	614
636	1075	612
637	1076	610
638	1077	608
639	1081	608
640	1083	606
641	1084	604
642	1086	603
643	1087	601
644	1088	599
645	1089	597
646	1091	595
647	1092	593
648	1099	594
649	1102	593
650	1103	591
651	1105	589
652	1106	588
653	1113	589
654	1115	587
655	1116	585
656	1118	583
657	1119	582
658	1121	580
659	1122	578
660	1128	578
661	1130	577
662	1132	575
663	1134	573
664	1135	571
665	1137	570
666	1146	572
667	1149	571
668	1158	573
669	1163	573
670	1167	572
671	1173	572
672	1176	571
673	1179	570
674	1185	570
675	1187	568
676	1190	567
677	1192	566
678	1193	564
679	1198	564
680	1200	562
681	1202	560
682	1206	560
683	1209	558
684	1217	559
685	1219	558
686	1221	556
687	1223	554
688	1225	553
689	1231	553
690	1233	551
691	1235	549
692	1237	548
693	1238	546
694	1240	544
695	1242	542
696	1246	542
697	1248	540
698	1249	538
699	1251	536
700	1253	534
701	1255	532
702	1256	530
703	1263	531
704	1265	529
705	1267	527
706	1270	526
707	1272	525
708	1278	524
709	1280	523
710	1283	521
711	1285	519
712	1293	520
713	1295	518
714	1297	517
715	1299	515
716	1301	513
717	1303	512
718	1313	513
719	1316	511
720	1318	510
721	1326	510
722	1329	509
723	1331	507
724	1332	505
725	1334	503
726	1343	504
727	1345	502
728	1347	500
729	1348	498
730	1352	497
731	1355	496
732	1357	494
733	1358	492
734	1360	490
735	1362	488
736	1363	486
737	1364	484
738	1368	483
739	1369	481
740	1370	479
741	1371	477
742	1373	474
743	1374	472
744	1375	470
745	1376	468
746	1377	466
747	1379	464
748	1381	462
749	1383	461
750	1384	459
751	1385	456
752	1386	454
753	1387	452
754	1388	450
755	1389	448
756	1391	446
757	1392	444
758	1393	442
759	1396	441
760	1398	439
761	1399	437
762	1400	435
763	1401	432
764	1402	430
765	1403	428
766	1404	426
767	1405	424
768	1406	422
769	1408	420
770	1412	419
771	1414	417
772	1415	415
773	1416	413
774	1418	411
775	1419	409
776	1420	407
777	1421	405
778	1422	403
779	1423	401
780	1428	400
781	1430	398
782	1432	396
783	1433	394
784	1434	392
785	1435	390
786	1437	388
787	1438	386
788	1439	384
789	1444	383
790	1445	381
791	1446	379
792	1447	377
793	1448	375
794	1449	373
795	1450	371
796	1451	369
797	1452	367
798	1453	365
799	1457	364
800	1458	362
801	1459	360
802	1460	358
803	1461	356
804	1462	354
805	1463	352
806	1464	350
807	1465	348
808	1466	346
809	1468	344
810	1469	342
811	1472	340
812	1473	339
813	1474	337
814	1475	334
815	1476	333
816	1477	331
817	1478	329
818	1479	327
819	1481	325
820	1482	323
821	1483	321
822	1486	319
823	1487	317
824	1489	315
825	1490	313
826	1491	312
827	1492	310
828	1493	308
829	1494	306
830	1496	304
831	1497	302
832	1498	300
833	1501	298
834	1503	297
835	1504	295
836	1505	293
837	1506	291
838	1507	289
839	1508	287
840	1509	285
841	1510	283
842	1511	281
843	1513	279
844	1515	278
845	1517	276
846	1518	274
847	1519	272
848	1520	270
849	1522	268
850	1523	266
851	1524	264
852	1526	263
853	1527	261
854	1528	259
855	1531	257
856	1533	255
857	1534	253
858	1535	252
859	1536	250
860	1537	248
861	1538	246
862	1539	244
863	1540	242
864	1542	240
865	1547	239
866	1548	237
867	1550	235
868	1551	233
869	1552	231
870	1553	230
871	1554	228
872	1555	226
873	1556	224
874	1557	222
875	1561	221
876	1562	219
877	1563	217
878	1564	215
879	1565	213
880	1566	211
881	1567	209
882	1568	207
883	1570	206
884	1572	204
885	1575	202
886	1577	200
887	1578	199
888	1579	197
889	1580	195
890	1581	193
891	1582	191
892	1584	189
893	1585	187
894	1586	186
895	1587	184
896	1590	182
897	1592	180
898	1593	179
899	1594	177
900	1595	175
901	1596	173
902	1597	171
903	1598	169
904	1600	167
905	1601	166
906	1602	164
907	1606	162
908	1607	160
909	1608	159
910	1610	157
911	1611	155
912	1612	153
913	1613	151
914	1614	150
915	1616	148
916	1617	146
917	1619	144
918	1621	142
919	1622	141
920	1623	139
921	1624	137
922	1625	135
923	1626	133
924	1628	132
925	1629	130
926	1630	128
927	1632	126
928	1635	124
929	1636	123
930	1637	121
931	1638	119
932	1639	117
933	1640	115
934	1641	114
935	1642	112
936	1643	110
937	1645	108
938	1647	106
939	1649	105
940	1651	103
941	1653	101
942	1654	100
943	1656	98
944	1657	96
945	1658	94
946	1660	92
947	1662	91
948	1669	89
949	1670	87
950	1672	86
951	1674	84
952	1675	82
953	1676	80
954	1685	79
955	1687	77
956	1689	75
957	1690	74
958	1692	72
959	1697	70
960	1702	69
961	1704	67
962	1706	65
963	1707	63
964	1713	62
965	1716	60
966	1717	58
967	1718	56
968	1720	55
969	1721	53
970	1723	51
971	1727	49
972	1730	48
973	1731	46
974	1732	44
975	1734	42
976	1735	40
977	1738	39
978	1744	37
979	1747	35
980	1748	33
981	1750	32
982	1751	30
983	1753	28
984	1754	26
985	1758	24
986	1760	23
987	1761	21
988	1763	19
989	1766	17
990	1768	16
991	1774	14
992	1776	12
993	1777	10
994	1781	8
995	1783	7
996	1787	5
997	1790	3
998	1792	1
999	1793	0
